SourceFile,SearchKey,ODSCode,OrganisationName,ServiceIndex,ServiceCode,ServiceName,OpeningTimeIndex,Weekday,OpeningTime,ClosingTime,OffsetOpeningTime,OffsetClosingTime,OpeningTimeType,AdditionalOpeningDate,IsOpen,FromAgeDays,ToAgeDays
page_000026.json,X101015,RNUCE,Bicester Community Hospital,1,SRV0178,Urgent care centre,5,Monday,18:00,23:00,1080,1380,General,,true,0,47481
page_000026.json,X101015,RNUCE,Bicester Community Hospital,1,SRV0178,Urgent care centre,6,Thursday,18:00,23:00,1080,1380,General,,true,0,47481
page_000026.json,X101015,RNUCE,Bicester Community Hospital,1,SRV0178,Urgent care centre,7,Sunday,08:30,23:00,510,1380,General,,true,0,47481
page_000026.json,X1013,RJ611,Croydon University Hospital,1,SRV0001,Accident and emergency services,1,Saturday,00:00,23:59,0,1439,General,,true,0,47481
page_000026.json,X1013,RJ611,Croydon University Hospital,1,SRV0001,Accident and emergency services,2,Sunday,00:00,23:59,0,1439,General,,true,0,47481
page_000026.json,X1013,RJ611,Croydon University Hospital,1,SRV0001,Accident and emergency services,3,Monday,00:00,23:59,0,1439,General,,true,0,47481
page_000026.json,X1013,RJ611,Croydon University Hospital,1,SRV0001,Accident and emergency services,4,Tuesday,00:00,23:59,0,1439,General,,true,0,47481
page_000026.json,X1013,RJ611,Croydon University Hospital,1,SRV0001,Accident and emergency services,5,Wednesday,00:00,23:59,0,1439,General,,true,0,47481
page_000026.json,X1013,RJ611,Croydon University Hospital,1,SRV0001,Accident and emergency services,6,Thursday,00:00,23:59,0,1439,General,,true,0,47481
page_000026.json,X1013,RJ611,Croydon University Hospital,1,SRV0001,Accident and emergency services,7,Friday,00:00,23:59,0,1439,General,,true,0,47481
page_000026.json,X101355,RY409,Herts & Essex Hospital,1,SRV0228,Musculo-skeletal services,1,Monday,07:30,17:30,450,1050,General,,true,,
page_000026.json,X101355,RY409,Herts & Essex Hospital,1,SRV0228,Musculo-skeletal services,2,Tuesday,07:30,17:30,450,1050,General,,true,,
page_000026.json,X101355,RY409,Herts & Essex Hospital,1,SRV0228,Musculo-skeletal services,3,Wednesday,07:30,17:30,450,1050,General,,true,,
page_000026.json,X101355,RY409,Herts & Essex Hospital,1,SRV0228,Musculo-skeletal services,4,Thursday,07:30,17:30,450,1050,General,,true,,
page_000026.json,X101355,RY409,Herts & Essex Hospital,1,SRV0228,Musculo-skeletal services,5,Friday,07:30,17:30,450,1050,General,,true,,
page_000026.json,X101355,RY409,Herts & Essex Hospital,2,SRV0178,Urgent care centre,1,Monday,09:00,16:30,540,990,General,,true,730,47481
page_000026.json,X101355,RY409,Herts & Essex Hospital,2,SRV0178,Urgent care centre,2,Thursday,09:00,16:30,540,990,General,,true,730,47481
page_000026.json,X101355,RY409,Herts & Essex Hospital,2,SRV0178,Urgent care centre,3,Friday,09:00,16:30,540,990,General,,true,730,47481
page_000026.json,X101355,RY409,Herts & Essex Hospital,2,SRV0178,Urgent care centre,4,Tuesday,09:00,16:30,540,990,General,,true,730,47481
page_000026.json,X101355,RY409,Herts & Essex Hospital,2,SRV0178,Urgent care centre,5,Wednesday,09:00,16:30,540,990,General,,true,730,47481
page_000026.json,X1014,RTFED,Wansbeck General Hospital,2,SRV0541,Urgent Treatment Centre,1,Tuesday,08:00,22:00,480,1320,General,,true,0,47481
page_000026.json,X1014,RTFED,Wansbeck General Hospital,2,SRV0541,Urgent Treatment Centre,2,Friday,08:00,22:00,480,1320,General,,true,0,47481
page_000026.json,X1014,RTFED,Wansbeck General Hospital,2,SRV0541,Urgent Treatment Centre,3,Sunday,08:00,22:00,480,1320,General,,true,0,47481
page_000026.json,X1014,RTFED,Wansbeck General Hospital,2,SRV0541,Urgent Treatment Centre,4,Wednesday,08:00,22:00,480,1320,General,,true,0,47481
page_000026.json,X1014,RTFED,Wansbeck General Hospital,2,SRV0541,Urgent Treatment Centre,5,Saturday,08:00,22:00,480,1320,General,,true,0,47481
page_000026.json,X1014,RTFED,Wansbeck General Hospital,2,SRV0541,Urgent Treatment Centre,6,Thursday,08:00,22:00,480,1320,General,,true,0,47481
page_000026.json,X1014,RTFED,Wansbeck General Hospital,2,SRV0541,Urgent Treatment Centre,7,Monday,08:00,22:00,480,1320,General,,true,0,47481
page_000026.json,X1016,RJL30,"Diana, Princess Of Wales Hospital",1,SRV0001,Accident and emergency services,1,Friday,00:00,23:59,0,1439,General,,true,0,47481
page_000026.json,X1016,RJL30,"Diana, Princess Of Wales Hospital",1,SRV0001,Accident and emergency services,2,Sunday,00:00,23:59,0,1439,General,,true,0,47481
page_000026.json,X1016,RJL30,"Diana, Princess Of Wales Hospital",1,SRV0001,Accident and emergency services,3,Wednesday,00:00,23:59,0,1439,General,,true,0,47481
page_000026.json,X1016,RJL30,"Diana, Princess Of Wales Hospital",1,SRV0001,Accident and emergency services,4,Saturday,00:00,23:59,0,1439,General,,true,0,47481
page_000026.json,X1016,RJL30,"Diana, Princess Of Wales Hospital",1,SRV0001,Accident and emergency services,5,Tuesday,00:00,23:59,0,1439,General,,true,0,47481
page_000026.json,X1016,RJL30,"Diana, Princess Of Wales Hospital",1,SRV0001,Accident and emergency services,6,Monday,00:00,23:59,0,1439,General,,true,0,47481
page_000026.json,X1016,RJL30,"Diana, Princess Of Wales Hospital",1,SRV0001,Accident and emergency services,7,Thursday,00:00,23:59,0,1439,General,,true,0,47481
page_000026.json,X101789,RALC7,Chase Farm Hospital,2,SRV0541,Urgent Treatment Centre,1,Sunday,08:00,21:00,480,1260,General,,true,1826,47481
page_000026.json,X101789,RALC7,Chase Farm Hospital,2,SRV0541,Urgent Treatment Centre,2,Monday,08:00,21:00,480,1260,General,,true,1826,47481
page_000026.json,X101789,RALC7,Chase Farm Hospital,2,SRV0541,Urgent Treatment Centre,3,Tuesday,08:00,21:00,480,1260,General,,true,1826,47481
page_000026.json,X101789,RALC7,Chase Farm Hospital,2,SRV0541,Urgent Treatment Centre,4,Wednesday,09:00,21:00,540,1260,General,,true,1826,47481
page_000026.json,X101789,RALC7,Chase Farm Hospital,2,SRV0541,Urgent Treatment Centre,5,Thursday,08:00,21:00,480,1260,General,,true,1826,47481
page_000026.json,X101789,RALC7,Chase Farm Hospital,2,SRV0541,Urgent Treatment Centre,6,Friday,08:00,21:00,480,1260,General,,true,1826,47481
