SourceFile,SearchKey,ODSCode,OrganisationName,ServiceIndex,ServiceCode,ServiceName,AgeRangeIndex,FromAgeDays,ToAgeDays
page_000035.json,X118598,RQM91,West Middlesex University Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000035.json,X1188,RWY02,Calderdale Royal Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000035.json,X1195,RJD01,Stafford Hospital,1,SRV0001,Accident and emergency services,1,5844,47481
page_000035.json,X119698,RY551,Grantham & District Hospital,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000036.json,X121091,RY21N,Huyton Primary Care Centre,1,SRV0178,Urgent care centre,1,0,47481
page_000036.json,X1214,RJZ01,King's College Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000036.json,X1217,RVR50,Epsom Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000036.json,X1217,RVR50,Epsom Hospital,3,SRV0541,Urgent Treatment Centre,1,5844,47481
page_000037.json,X122433,RYW56,Selly Oak Health Centre,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000037.json,X1232,RTD02,The Royal Victoria Infirmary,1,SRV0001,Accident and emergency services,1,0,5843
page_000037.json,X1232,RTD02,The Royal Victoria Infirmary,1,SRV0001,Accident and emergency services,2,5844,47481
page_000038.json,X124234,AXT02,Shakespeare Walk-In Centre,1,SRV0178,Urgent care centre,1,0,47481
page_000038.json,X1243,RYR18,Worthing Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000038.json,X1245,RXR20,Royal Blackburn Teaching Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000039.json,X124988,NDAH9,Gravesham Community Hospital - Virgin Care Adult Community Services,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000040.json,X1268,RPA02,Medway Maritime Hospital,1,SRV0001,Accident and emergency services,1,6574,47481
page_000040.json,X1270,RVWSX,Peterlee Community Hospital,1,SRV0178,Urgent care centre,1,365,47481
page_000040.json,X1270,RVWSX,Peterlee Community Hospital,2,SRV0541,Urgent Treatment Centre,1,0,47481
page_000040.json,X1271,RWDLA,Pilgrim Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000040.json,X1271,RWDLA,Pilgrim Hospital,3,SRV0541,Urgent Treatment Centre,1,0,47481
page_000041.json,X1293,RR7EN,Queen Elizabeth Hospital,1,SRV0001,Accident and emergency services,1,0,5843
page_000041.json,X1293,RR7EN,Queen Elizabeth Hospital,1,SRV0001,Accident and emergency services,2,5844,47481
page_000041.json,X13,RDEE4,Colchester Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000042.json,X130979,NQT5F,Skelmersdale Walk In Centre,1,SRV0178,Urgent care centre,1,0,47481
page_000042.json,X130980,NQT5G,West Lancashire Adult Community Health Services,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000042.json,X1311,RHM01,Southampton General Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000042.json,X1314,RXN01,Chorley and South Ribble Hospital,1,SRV0001,Accident and emergency services,1,6574,47481
page_000042.json,X1314,RXN01,Chorley and South Ribble Hospital,3,SRV0541,Urgent Treatment Centre,1,0,47481
page_000042.json,X131614,RYFFC,Tiverton Urgent Treatment Centre,1,SRV0541,Urgent Treatment Centre,1,730,47481
page_000043.json,X1320,RWP50,Worcestershire Royal Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000043.json,X1322,RHU03,Queen Alexandra Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000043.json,X132585,NNFA7,Goole & District Hospital,2,SRV0541,Urgent Treatment Centre,1,0,47481
page_000043.json,X133004,RK906,Cumberland Centre,1,SRV0541,Urgent Treatment Centre,1,365,47481
page_000044.json,X1334,RJ701,St George's Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000044.json,X1335,RJ224,University Hospital Lewisham,1,SRV0001,Accident and emergency services,1,0,47481
page_000044.json,X1338,RJE01,Royal Stoke University Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000044.json,X134,RCUEF,Sheffield Children's Hospital,1,SRV0001,Accident and emergency services,1,0,5843
page_000044.json,X134557,R0A02,Manchester Royal Infirmary,1,SRV0001,Accident and emergency services,1,0,5843
page_000044.json,X134557,R0A02,Manchester Royal Infirmary,1,SRV0001,Accident and emergency services,2,5844,47481
page_000045.json,X134726,R0A07,Wythenshawe Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000045.json,X1352,RHQNG,Northern General Hospital,1,SRV0001,Accident and emergency services,1,5844,47481
page_000045.json,X1352,RHQNG,Northern General Hospital,2,SRV0178,Urgent care centre,1,5844,47481
page_000046.json,X1370,RH880,North Devon District Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000046.json,X137255,ARN03,King Street Walk in Centre ,1,SRV0178,Urgent care centre,1,182,394
page_000046.json,X137255,ARN03,King Street Walk in Centre ,1,SRV0178,Urgent care centre,2,365,47481
page_000047.json,X138670,AXA02,Royal London Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000048.json,X140,RA723,Bristol Royal Hospital For Children,1,SRV0001,Accident and emergency services,1,0,5843
page_000049.json,X1420,RTGFA,Florence Nightingale Community Hospital,1,SRV0541,Urgent Treatment Centre,1,91,394
page_000049.json,X1420,RTGFA,Florence Nightingale Community Hospital,1,SRV0541,Urgent Treatment Centre,2,365,47481
page_000049.json,X1421,RWP31,Kidderminster Hospital & Treatment Centre,2,SRV0178,Urgent care centre,1,365,47481
page_000049.json,X1422,RVV01,William Harvey Hospital (Ashford),1,SRV0001,Accident and emergency services,1,0,47481
page_000049.json,X1439,RWG08,Hemel Hempstead Hospital,1,SRV0541,Urgent Treatment Centre,1,365,47481
page_000051.json,X147390,RRK97,Heartlands Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000051.json,X147391,RRK98,Good Hope Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000051.json,X147392,RRK99,Solihull Hospital,2,SRV0541,Urgent Treatment Centre,1,0,47481
page_000051.json,X1476,RGT01,Addenbrooke's,1,SRV0001,Accident and emergency services,1,0,47481
page_000051.json,X147621,RW44V,South Liverpool NHS Treatment Centre,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000053.json,X150906,NNJ14,Oadby,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000053.json,X150921,RH5O4,Yeovil District Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000053.json,X150921,RH5O4,Yeovil District Hospital,2,SRV0541,Urgent Treatment Centre,1,365,47481
page_000053.json,X151009,R0B01,Sunderland Royal Hospital,1,SRV0001,Accident and emergency services,1,0,5843
page_000053.json,X151009,R0B01,Sunderland Royal Hospital,1,SRV0001,Accident and emergency services,2,5844,47481
page_000053.json,X151010,R0B02,Bishop Auckland Hospital,1,SRV0178,Urgent care centre,1,365,47481
page_000053.json,X151010,R0B02,Bishop Auckland Hospital,2,SRV0541,Urgent Treatment Centre,1,0,47481
page_000053.json,X151016,R0B0Q,South Tyneside District Hospital,1,SRV0001,Accident and emergency services,1,5844,47481
page_000053.json,X151029,R0B15,University Hospital Of Hartlepool,2,SRV0541,Urgent Treatment Centre,1,0,47481
page_000053.json,X151053,AXT05,Corby Urgent Care Centre,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000053.json,X151285,R0B1G,University Hospital Of North Durham,1,SRV0001,Accident and emergency services,1,0,5843
page_000053.json,X151285,R0B1G,University Hospital Of North Durham,1,SRV0001,Accident and emergency services,2,5844,47481
page_000054.json,X151415,RW43E,Smithdown Minor Injury Centre For Children,1,SRV0178,Urgent care centre,1,0,5843
page_000054.json,X151417,RW43D,Old Swan Walk In Centre,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000054.json,X152528,AQN04,PHL Lymington Urgent Treatment Centre,1,SRV0541,Urgent Treatment Centre,1,365,47481
page_000055.json,X1528,RQM01,Chelsea and Westminster Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000055.json,X1533,RWEAA,Leicester Royal Infirmary,1,SRV0001,Accident and emergency services,1,0,6573
page_000055.json,X1540,RWDDA,Lincoln County Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000055.json,X1540,RWDDA,Lincoln County Hospital,3,SRV0541,Urgent Treatment Centre,1,0,47481
page_000056.json,X154170,RNNBX,West Cumberland Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000056.json,X154175,RNN62,Cumberland Infirmary,1,SRV0001,Accident and emergency services,1,0,47481
page_000056.json,X1545,RTH05,Horton General Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000056.json,X154551,RAJ1U,Harold Wood Polyclinic,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000057.json,X1566,RJC03,Stratford Hospital,1,SRV0178,Urgent care centre,1,365,47481
page_000058.json,X1577,RYR16,St Richard's Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000059.json,X1587,RTFDR,Hexham General Hospital,2,SRV0541,Urgent Treatment Centre,1,0,47481
page_000060.json,X159574,R0D01,Poole Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000060.json,X159574,R0D01,Poole Hospital,2,SRV0178,Urgent care centre,1,365,47481
page_000060.json,X159575,R0D02,Royal Bournemouth Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000060.json,X159575,R0D02,Royal Bournemouth Hospital,2,SRV0178,Urgent care centre,1,365,47481
page_000061.json,X162,RA901,Torbay Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000061.json,X1626,RXQ50,Wycombe Hospital,2,SRV0541,Urgent Treatment Centre,1,365,47481
page_000061.json,X163018,N6J7V,Princess Royal Hospital,1,SRV0001,Accident and emergency services,1,6209,47481
page_000061.json,X163399,Z7T1B,Halton General Hospital,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000061.json,X163403,P4W6C,St Chad's Clinic,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000062.json,X1636,RXF10,Dewsbury and District Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000063.json,X1655,RRK15,Queen Elizabeth Hospital Birmingham,1,SRV0001,Accident and emergency services,1,5844,47481
page_000064.json,X1661,RN325,The Great Western Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000064.json,X1661,RN325,The Great Western Hospital,2,SRV0541,Urgent Treatment Centre,1,0,6573
page_000065.json,X1672,RYJ01,St Mary's Hospital (HQ),1,SRV0001,Accident and emergency services,1,0,47481
page_000065.json,X1676,RR813,St James's Hospital,1,SRV0001,Accident and emergency services,1,6574,47481
page_000067.json,X169954,E0A3H,Royal Sussex County Hospital,1,SRV0001,Accident and emergency services,1,0,6208
page_000067.json,X169954,E0A3H,Royal Sussex County Hospital,1,SRV0001,Accident and emergency services,2,6209,47481
page_000067.json,X1700,RNZ02,Salisbury District Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000068.json,X1709,RTH08,John Radcliffe Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000068.json,X171,RBS25,Alder Hey Children's NHS Foundation Trust,1,SRV0001,Accident and emergency services,1,0,5843
page_000069.json,X1724,RTXBW,Westmorland General Hospital,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000070.json,X1730,RJN71,Macclesfield District General Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000070.json,X1730,RJN71,Macclesfield District General Hospital,3,SRV0178,Urgent care centre,1,1095,47481
page_000071.json,X1743,RYJ02,Charing Cross Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000071.json,X1745,RWA01,Hull Royal Infirmary,1,SRV0001,Accident and emergency services,1,5844,47481
page_000071.json,X1750,RTFFS,North Tyneside General Hospital,2,SRV0541,Urgent Treatment Centre,1,0,47481
page_000072.json,X1758,RNQ51,Kettering General Hospital,1,SRV0001,Accident and emergency services,1,6574,47481
page_000072.json,X1760,RWJ09,Stepping Hill Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000072.json,X176076,I3W1A,Midland Metropolitan University Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000072.json,X176325,K4Y8N,Manchester Urgent Primary Care Hub,1,SRV0178,Urgent care centre,1,0,47481
page_000073.json,X1764,RTXBU,Furness General Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000073.json,X1764,RTXBU,Furness General Hospital,2,SRV0178,Urgent care centre,1,0,47481
page_000073.json,X1769,RXWAT,Princess Royal Hospital ,1,SRV0001,Accident and emergency services,1,0,47481
page_000073.json,X1769,RXWAT,Princess Royal Hospital ,3,SRV0541,Urgent Treatment Centre,1,0,47481
page_000074.json,X178015,RW42H,Litherland Town Hall,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000074.json,X1785,RHQHH,Royal Hallamshire Hospital,2,SRV0178,Urgent care centre,1,5844,47481
page_000075.json,X178742,U4O3U,Forest Of Dean Community Hospital,1,SRV0178,Urgent care centre,1,365,47481
page_000075.json,X1792,RTDCA,Ponteland Road Health Centre,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000076.json,X1798,RPC04,Queen Victoria Hospital (East Grinstead),1,SRV0178,Urgent care centre,1,365,47481
page_000077.json,X1811,RFSDA,Chesterfield Royal Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000079.json,X183121,A9F7M,Blaydon Cdc,1,SRV0541,Urgent Treatment Centre,1,0,47481
page_000079.json,X1837,RQXM1,Homerton University Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000080.json,X1842,RXWAS,Royal Shrewsbury Hospital ,1,SRV0001,Accident and emergency services,1,0,47481
page_000080.json,X1842,RXWAS,Royal Shrewsbury Hospital ,3,SRV0541,Urgent Treatment Centre,1,0,47481
page_000082.json,X186140,RWV47,Stowford Lodge,1,SRV0178,Urgent care centre,1,730,47481
page_000083.json,X187846,RH8H8,NHS Walk-In Centre,1,SRV0178,Urgent care centre,1,730,47481
page_000083.json,X1879,RWWWH,Warrington Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000084.json,X1888,RWP01,Alexandra Hospital,1,SRV0001,Accident and emergency services,1,5844,47481
page_000085.json,X1893,RN707,Darent Valley Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000085.json,X1899,RTGFG,Royal Derby Hospital,1,SRV0001,Accident and emergency services,1,0,5843
page_000085.json,X1899,RTGFG,Royal Derby Hospital,1,SRV0001,Accident and emergency services,2,5844,47481
page_000087.json,X1928,RYJ03,Hammersmith Hospital,1,SRV0178,Urgent care centre,1,0,47481
page_000087.json,X1962,RXC01,Conquest Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000087.json,X1963,RH801,Royal Devon and Exeter Hospital (Wonford),1,SRV0001,Accident and emergency services,1,0,47481
page_000087.json,X1967,RVVKC,Kent and Canterbury Hospital,2,SRV0541,Urgent Treatment Centre,1,0,47481
page_000087.json,X1967,RVVKC,Kent and Canterbury Hospital,2,SRV0541,Urgent Treatment Centre,2,365,47481
page_000087.json,X1974,RXL01,Blackpool Victoria Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000088.json,X2013,RQWG0,Princess Alexandra Hospital,1,SRV0001,Accident and emergency services,1,5844,47481
page_000088.json,X2013,RQWG0,Princess Alexandra Hospital,3,SRV0541,Urgent Treatment Centre,1,30,394
page_000088.json,X2013,RQWG0,Princess Alexandra Hospital,3,SRV0541,Urgent Treatment Centre,2,365,47481
page_000088.json,X2027,RX1RA,Nottingham University Hospitals NHS Trust - Queen's Medical Centre Campus,1,SRV0001,Accident and emergency services,1,0,47481
page_000088.json,X2038,RHW01,Royal Berkshire Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000088.json,X2038,RHW01,Royal Berkshire Hospital,3,SRV0178,Urgent care centre,1,0,47481
page_000088.json,X2051,RJC02,Warwick Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000088.json,X2082,RVJ01,Southmead Hospital,1,SRV0001,Accident and emergency services,1,5844,47481
page_000088.json,X2085,RHU10,Gosport War Memorial Hospital - Portsmouth Hospitals NHS Trust,2,SRV0541,Urgent Treatment Centre,1,365,47481
page_000088.json,X2101,RWY01,Huddersfield Royal Infirmary,1,SRV0001,Accident and emergency services,1,0,5843
page_000088.json,X2101,RWY01,Huddersfield Royal Infirmary,1,SRV0001,Accident and emergency services,2,0,47481
page_000088.json,X2103,RVWAE,University Hospital Of North Tees,1,SRV0001,Accident and emergency services,1,0,5843
page_000088.json,X2103,RVWAE,University Hospital Of North Tees,1,SRV0001,Accident and emergency services,2,5844,47481
page_000089.json,X2122,RTX02,Royal Lancaster Infirmary,1,SRV0001,Accident and emergency services,1,0,47481
page_000089.json,X2127,RLQ01,"The County Hospital, Wye Valley NHS Trust",1,SRV0001,Accident and emergency services,1,0,47481
page_000089.json,X2132,RM301,Salford Royal,1,SRV0001,Accident and emergency services,1,0,47481
page_000089.json,X2139,RGR50,West Suffolk Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000089.json,X219,RALWH,The Whittington Hospital,1,SRV0001,Accident and emergency services,1,0,47481
page_000089.json,X2205,RR801,Leeds General Infirmary,1,SRV0001,Accident and emergency services,1,0,47481
page_000089.json,X2210,RMP01,Tameside & Glossop Integrated Care NHS Foundation Trust,1,SRV0001,Accident and emergency services,1,0,47481
page_000089.json,X2241,RXPDA,Darlington Memorial Hospital,1,SRV0001,Accident and emergency services,1,0,5843
page_000089.json,X2241,RXPDA,Darlington Memorial Hospital,1,SRV0001,Accident and emergency services,2,5844,47481
page_000089.json,X2249,RP5MM,Montagu Hospital,1,SRV0178,Urgent care centre,1,365,47481
page_000090.json,X2255,RXC02,Eastbourne District General Hospital,1,SRV0001,Accident and emergency services,1,5844,47481
page_000090.json,X2266,RKB03,Hospital Of St Cross,2,SRV0541,Urgent Treatment Centre,1,1826,47481
page_000090.json,X2286,RKB01,University Hospital (Coventry),1,SRV0001,Accident and emergency services,1,0,6573
page_000090.json,X2286,RKB01,University Hospital (Coventry),1,SRV0001,Accident and emergency services,2,6574,47481
page_000090.json,X2286,RKB01,University Hospital (Coventry),3,SRV0178,Urgent care centre,1,4383,47481
page_000090.json,X2298,NTPAD,"Practice Plus Group Surgical Centre, St Mary's Portsmouth",1,SRV0541,Urgent Treatment Centre,1,0,47481
